Region,Chr,Start,End,Attributes,TotalE2E,FwdE2E,RevE2E,Total,Fwd,Rev
REG3G_tmb3_1.32678,chr2,79254932,79255059,REG3G,2445,1204,1241,3000,1486,1514,
LOW_r437_1.980,chr2,25994253,25994329,ASXL2,2445,1274,1171,2550,1305,1245,
SP_264.9776,chr11,403974,404088,rs11748,2445,1256,1189,2902,1486,1416,
PAK5_tmb2_1.4570,chr20,9523234,9523367,PAK5,2445,1213,1232,2588,1318,1270,
HCN1_tmb6_1.49461,chr5,45461904,45462027,HCN1,2445,1212,1233,2571,1265,1306,
SP_181.8720,chr1,241755291,241755414,rs1053230,2445,1302,1143,2774,1588,1186,
CHEK2_15.17141,chr22,29130389,29130500,CHEK2,2445,1542,903,3111,1582,1529,
TOP1_5.23268,chr20,39706162,39706265,TOP1,2444,1173,1271,2661,1234,1427,
NOTCH4_1.65342,chr6,32163187,32163315,NOTCH4,2444,1330,1114,2620,1401,1219,
CNTN6_tmb13_1.17582,chr3,1424977,1425092,CNTN6,2443,1178,1265,2585,1241,1344,
ATM_35.61804,chr11,108173694,108173815,ATM,2443,1145,1298,2793,1183,1610,
SP_1282.9075,chr4,175237371,175237478,rs1553669,2443,1131,1312,2591,1208,1383,
SP_1193.16760,chr3,195517043,195517168,rs1806440,2443,1149,1294,2636,1235,1401,
TCF7L2_10.4882,chr10,114910756,114910876,TCF7L2,2443,1392,1051,3206,1588,1618,
ACVR1B_4.64849,chr12,52374828,52374953,ACVR1B,2442,1409,1033,2965,1501,1464,
SP_117.7178,chr19,41743928,41744060,AXL,2442,1349,1093,2964,1762,1202,
STAT6_1.16243,chr12,57490294,57490411,STAT6,2442,1292,1150,3053,1369,1684,
SP_1546.41720,chr7,133580384,133580510,rs2042456,2442,1262,1180,2666,1374,1292,
SP_404.41143,chr12,58186791,58186912,rs188603546,2442,1247,1195,2838,1324,1514,
s124_1.49232,chr15,50784989,50785107,USP8,2442,1119,1323,2763,1337,1426,
SP_866.43605,chr2,21360481,21360604,rs312966,2441,1220,1221,2753,1384,1369,
PGD_2.22601,chr1,10459665,10459819,PGD,2440,1210,1230,2780,1383,1397,
ARHGAP35_1.1.44904,chr19,47421913,47422026,ARHGAP35,2440,1196,1244,2679,1341,1338,
SP_1232.47920,chr4,73956689,73956811,rs6855349,2440,1088,1352,2761,1216,1545,
SP_674.37197,chr17,1703943,1704066,rs9913923,2440,1196,1244,2783,1425,1358,
49440_1.41429,chr14,95595896,95595988,DICER1,2440,1204,1236,2982,1413,1569,
FBXW7_13.31893,chr4,153332609,153332743,FBXW7,2439,1255,1184,2780,1517,1263,
MYC_2.92658,chr8,128751157,128751294,MYC,2439,1002,1437,3736,1944,1792,
SP_1405.5646,chr6,64694273,64694386,rs4710457,2439,1214,1225,2846,1373,1473,
7153450830,chr1,78433305,78433419,FUBP1,2438,1140,1298,2899,1481,1418,
FANCL_9.69241,chr2,58431217,58431340,FANCL,2438,1261,1177,2875,1443,1432,
SP_1671.46793,chr9,79322008,79322129,rs683866,2438,1087,1351,2922,1464,1458,
s209_1.3661,chr1,43812174,43812294,MPL,2438,1355,1083,2589,1455,1134,
MGA_3.11847,chr15,41991081,41991199,MGA,2438,1209,1229,2765,1351,1414,
B2M_1.18234,chr15,45003690,45003805,B2M,2438,1284,1154,2920,1535,1385,
FG_SP_75.4.27596,chr16,72830658,72830789,ZFHX3,2438,1229,1209,2701,1375,1326,
PARP1_22.14194,chr1,226590063,226590182,PARP1,2437,1104,1333,2928,1414,1514,
SP_1236.6339,chr4,79238543,79238667,rs345514,2436,1201,1235,2775,1386,1389,
USP9X_44.43607,chrX,41091586,41091686,USP9X,2436,1267,1169,2644,1352,1292,
DICER1_26.31627,chr14,95599733,95599859,DICER1,2436,1205,1231,2811,1436,1375,
ANO4_tmb17_1.59170,chr12,101520804,101520932,ANO4,2436,1115,1321,2833,1342,1491,
PPM1D_6.222056,chr17,58740618,58740741,PPM1D,2436,1250,1186,2536,1317,1219,
FANCM_23.278,chr14,45669053,45669156,FANCM,2436,1222,1214,2624,1311,1313,
SP_216.1.95325,chr7,128845103,128845238,SMO,2435,1215,1220,2747,1301,1446,
SP_1548.848,chr7,137600595,137600718,rs273957,2435,1312,1123,2939,1375,1564,
OBRA_BRCA1_61,chr17,41244684,41244778,BRCA1,2435,919,1516,2648,1028,1620,
BLM_14.78182,chr15,91333844,91333945,BLM,2435,1220,1215,2642,1295,1347,
MRE11A_5.5603,chr11,94178980,94179089,MRE11,2435,1068,1367,2704,1234,1470,
HCN1_tmb5_1.15360,chr5,45396536,45396661,HCN1,2435,1232,1203,2786,1339,1447,
SP_1648.9360,chr8,146156179,146156300,rs3735789,2434,1131,1303,2689,1328,1361,
PARP2_3.7832,chr14,20813529,20813647,PARP2,2433,1241,1192,2622,1323,1299,
CDK12_1.1.195619,chr17,37618502,37618636,CDK12,2433,1184,1249,2742,1384,1358,
FAT1_18.3.263262,chr4,187541441,187541565,FAT1,2433,1164,1269,2777,1364,1413,
MSH6_8.32955,chr2,48033481,48033597,MSH6,2432,1094,1338,2797,1389,1408,
RAD54L_12.22487,chr1,46738444,46738562,RAD54L,2432,1309,1123,3023,1474,1549,
BAP1_13.2807,chr3,52441898,52441999,BAP1,2432,1297,1135,2723,1440,1283,
SP_1316.1518,chr5,77411973,77412093,rs42360,2431,1175,1256,2875,1488,1387,
ZFHX3_1.1.60977,chr16,72821440,72821570,ZFHX3,2431,930,1501,3014,1295,1719,
SP_224.34672,chr7,151181825,151181945,RHEB,2431,1338,1093,2707,1499,1208,
ZFHX3_2.1.41849,chr16,72827626,72827718,ZFHX3,2430,1199,1231,2605,1282,1323,
GATA3_5.90404,chr10,8115784,8115914,GATA3,2430,1125,1305,2993,1543,1450,
RAD50_11.5953,chr5,131927589,131927709,RAD50,2430,1199,1231,2727,1379,1348,
FG_SP_42.46662,chr12,46244120,46244255,ARID2,2430,1299,1131,2776,1461,1315,
STAG2_29.82055,chrX,123224447,123224564,STAG2,2430,1269,1161,2630,1406,1224,
SP_773.34255,chr18,55021659,55021761,rs3745060,2430,1134,1296,2559,1231,1328,
SF3B1_3.8561,chr2,198260946,198261068,SF3B1,2430,1152,1278,2650,1273,1377,
PRKAR1A_4.54915,chr17,66520177,66520296,PRKAR1A,2430,1114,1316,3246,1383,1863,
SPOP_3.13895,chr17,47684590,47684688,SPOP,2429,1270,1159,2600,1352,1248,
SPEN_11.5.26113,chr1,16259243,16259366,SPEN,2429,1134,1295,2736,1312,1424,
PARP1_10.47554,chr1,226561954,226562076,PARP1,2429,1165,1264,2647,1344,1303,
FAT1_15.3648,chr4,187534263,187534391,FAT1,2429,1232,1197,2838,1478,1360,
EP300_15.80112,chr22,41547874,41547972,EP300,2428,1249,1179,2740,1440,1300,
LATS2_2.8420,chr13,21553902,21554001,LATS2,2427,1241,1186,2584,1343,1241,
APC_16.3.334567,chr5,112175581,112175704,APC,2426,1243,1183,3032,1439,1593,
SP_467.8367,chr13,36744858,36744983,rs2296968,2426,1279,1147,2693,1427,1266,
JAK3_3.11058,chr19,17941348,17941449,JAK3,2426,1213,1213,2631,1375,1256,
SP_1587.39027,chr8,29989539,29989663,rs7844812,2426,1139,1287,2825,1376,1449,
KIT_4.6260,chr4,55595548,55595664,KIT,2426,1204,1222,2634,1311,1323,
SLX4_3.44286,chr16,3634831,3634954,SLX4,2425,1205,1220,2700,1259,1441,
MTAP_6.39754,chr9,21854601,21854705,MTAP,2425,1500,925,2671,1646,1025,
KMT2C_22.1.236897,chr7,151873368,151873484,KMT2C,2425,1535,890,3337,1698,1639,
CTCF_8.15894,chr16,67663391,67663504,CTCF,2425,1121,1304,2821,1321,1500,
ARID1B_2.3209,chr6,157150403,157150531,ARID1B,2424,739,1685,4218,2025,2193,
SMARCA4_17.2301,chr19,11130247,11130346,SMARCA4,2424,1145,1279,2543,1187,1356,
EP300_6.79821,chr22,41527534,41527659,EP300,2424,1224,1200,2694,1409,1285,
RAC1_6.16663,chr7,6441478,6441614,RAC1,2423,1204,1219,2677,1329,1348,
SP_1229.20621,chr4,68995484,68995607,rs10030708,2423,1159,1264,2771,1305,1466,
MAP2K4_4.9333,chr17,11984679,11984797,MAP2K4,2423,1353,1070,2736,1488,1248,
SP_1513.26214,chr7,82582796,82582916,rs10954696,2422,1167,1255,2685,1276,1409,
SP_1093.14619,chr3,9870941,9871068,rs2290305,2422,1145,1277,2971,1328,1643,
SP_1085.10997,chr22,43830976,43831110,rs2413761,2422,1227,1195,2907,1550,1357,
EP300_3.94364,chr22,41521791,41521908,EP300,2422,1197,1225,2667,1289,1378,
SP_1012.28475,chr20,9543589,9543702,rs2297345,2421,1214,1207,2574,1288,1286,
FANCM_5.10813,chr14,45620572,45620690,FANCM,2421,1268,1153,2607,1313,1294,
SP_1353.30837,chr5,156589494,156589620,rs31208,2421,1262,1159,2788,1425,1363,
STAG2_9.49982,chrX,123184016,123184135,STAG2,2421,1146,1275,2572,1250,1322,
CCND2_2.76689,chr12,4385136,4385256,CCND2,2421,1323,1098,2791,1516,1275,
STAT1_tmb1_1.1986,chr2,191839539,191839658,STAT1,2421,965,1456,3003,1419,1584,
KMT2A_24.198,chr11,118370530,118370632,KMT2A,2421,1203,1218,2561,1247,1314,
TSC2_4.1407,chr16,2104358,2104480,TSC2,2420,1106,1314,2594,1175,1419,
MAP3K4_9.55791,chr6,161507392,161507510,MAP3K4,2420,1101,1319,2738,1342,1396,
FAT1_8.15110,chr4,187524016,187524136,FAT1,2420,1515,905,3065,1656,1409,
EP300_5.62291,chr22,41525930,41526050,EP300,2419,1258,1161,2727,1383,1344,
CDK4_1.28502,chr12,58142242,58142366,CDK4,2419,1169,1250,3175,1606,1569,
NOL4_tmb8_1.2172,chr18,31685012,31685124,NOL4,2419,1180,1239,2838,1438,1400,
FAT1_4.25586,chr4,187518805,187518930,FAT1,2419,1347,1072,2781,1408,1373,
SP_1625.34098,chr8,113702076,113702200,rs16883953,2419,1122,1297,2746,1357,1389,
FAT1_26.2.61538,chr4,187629184,187629306,FAT1,2418,1085,1333,2728,1263,1465,
PPM1D_6.76104,chr17,58740505,58740629,PPM1D,2418,1167,1251,2507,1225,1282,
FANCC_12.58272,chr9,97934272,97934380,FANCC,2418,1270,1148,2660,1378,1282,
17298_1.13003,chr3,142186746,142186878,ATR,2417,1285,1132,2788,1383,1405,
MGA_2.139080,chr15,41988574,41988696,MGA,2417,1211,1206,2593,1286,1307,
MLH1_12.81643,chr3,37067146,37067254,MLH1,2416,1198,1218,2518,1266,1252,
SP_1821.33997,chrX,142596730,142596847,rs5953851,2416,1328,1088,2605,1372,1233,
SP_968.37103,chr2,202264095,202264205,rs13022344,2416,1313,1103,2563,1350,1213,
SP_414.4681,chr12,81769536,81769661,rs10862301,2415,1093,1322,2729,1297,1432,
MECOM_5.106027,chr3,168812787,168812896,MECOM,2415,1272,1143,2672,1366,1306,
FBXW7_6.83379,chr4,153303412,153303528,FBXW7,2415,1165,1250,2690,1259,1431,
CDKN2C_1.61631,chr1,51436112,51436234,CDKN2C,2415,1096,1319,2668,1278,1390,
MAP3K4_11.102757,chr6,161508662,161508748,MAP3K4,2415,1207,1208,2624,1284,1340,
SP_324.15350,chr11,86098619,86098743,rs292109,2415,1165,1250,2534,1210,1324,
SP_331.4676,chr11,100909900,100909997,rs500760,2415,1268,1147,2653,1339,1314,
CREBBP_1.1.20596,chr16,3777679,3777808,CREBBP,2414,1103,1311,2631,1222,1409,
XRCC3_6.60490,chr14,104174912,104175017,XRCC3,2414,1204,1210,2560,1288,1272,
POLE_30.39006,chr12,133244219,133244341,POLE,2414,1271,1143,3032,1521,1511,
SP_741.49143,chr17,72584693,72584814,rs783239,2414,1047,1367,2957,1495,1462,
DNMT3A_8.29477,chr2,25467424,25467546,DNMT3A,2414,1142,1272,2778,1282,1496,
PMS2_10.53551,chr7,6038699,6038825,PMS2,2413,1227,1186,2789,1444,1345,
SP_1580.9234,chr8,21833876,21833992,rs2306641,2413,1285,1128,2553,1370,1183,
PRDM1_8.93481,chr6,106555062,106555188,PRDM1,2413,1094,1319,2703,1242,1461,
POM121L12_tmb1_1.71767,chr7,53104137,53104276,POM121L12,2412,1027,1385,3153,1605,1548,
NF1_9.75702,chr17,29533354,29533464,NF1,2411,1239,1172,2489,1269,1220,
MRE11A_6.30329,chr11,94180422,94180553,MRE11,2411,1208,1203,2747,1395,1352,
e_del_142926_19691_RB1_1.72512,chr13,49030326,49030432,RB1,2411,1462,949,2632,1540,1092,
FG_SP_179.15959,chr7,124482936,124483061,POT1,2411,1100,1311,2571,1164,1407,
ERRFI1_1.1.319726,chr1,8073905,8074025,ERRFI1,2411,1006,1405,2774,1099,1675,
e_del_88502_9393_KDM6A_1.115204,chrX,44919293,44919416,KDM6A,2410,1148,1262,2560,1225,1335,
RAD50_12.56837,chr5,131930590,131930711,RAD50,2409,1327,1082,2669,1461,1208,
PTPRT_tmb13_1.16523,chr20,40979265,40979392,PTPRT,2409,1119,1290,2806,1206,1600,
BRIP1_5.87985,chr17,59858159,59858277,BRIP1,2409,1237,1172,2633,1382,1251,
PBRM1_26.12049,chr3,52696153,52696278,PBRM1,2408,1293,1115,2662,1391,1271,
7154990110,chr1,78420853,78420973,FUBP1,2408,1071,1337,3165,1662,1503,
ADAM18_tmb6_1.38296,chr8,39537702,39537802,ADAM18,2408,1218,1190,2526,1277,1249,
MAP3K4_3.1.224642,chr6,161470403,161470523,MAP3K4,2407,1223,1184,2737,1414,1323,
NF2_4.10234,chr22,30038171,30038294,NF2,2407,1133,1274,2632,1302,1330,
RAD52_2.28481,chr12,1023130,1023253,RAD52,2407,1218,1189,2638,1329,1309,
FAT1_26.4.110858,chr4,187630685,187630791,FAT1,2407,1246,1161,2601,1314,1287,
FANCD2_37.13407,chr3,10133834,10133956,FANCD2,2406,1193,1213,2864,1375,1489,
ERAP1_tmb13_1.27107,chr5,96136568,96136692,ERAP1,2406,1286,1120,2817,1347,1470,
ESR1_3.73717,chr6,152265555,152265678,ESR1,2406,1920,486,4834,2145,2689,
SP_1164.19173,chr3,140178462,140178584,rs7632885,2406,1239,1167,2624,1316,1308,
FG_SP_44.864,chr12,49426406,49426541,KMT2D,2405,1087,1318,2960,1353,1607,
MYD88_1.50865,chr3,38180236,38180355,MYD88,2405,1231,1174,2849,1400,1449,
s463_1.38710,chr2,158622453,158622553,ACVR1,2404,1276,1128,2584,1383,1201,
CSMD3_tmb52_1.8782,chr8,113988083,113988208,CSMD3,2404,1255,1149,2573,1359,1214,
SP_478.30726,chr13,52313140,52313237,rs1885854,2404,1077,1327,2809,1424,1385,
BLM_8.28712,chr15,91308506,91308625,BLM,2404,1179,1225,2650,1283,1367,
MRE11A_15.74460,chr11,94211874,94211978,MRE11,2404,1264,1140,2624,1335,1289,
SP_1501.28693,chr7,55214274,55214400,rs2072454,2404,1152,1252,2726,1286,1440,
SP_76.30149,chr12,112888141,112888256,PTPN11,2404,1156,1248,2622,1219,1403,
FBXW7_1.11212,chr4,153244186,153244295,FBXW7,2403,1172,1231,2710,1409,1301,
IGF1R_19.29512,chr15,99486161,99486282,IGF1R,2403,1374,1029,2655,1486,1169,
NCOR1_31.61048,chr17,16024359,16024484,NCOR1,2403,1284,1119,2740,1458,1282,
ATM_33.68649,chr11,108170455,108170578,ATM,2403,1110,1293,2605,1175,1430,
FANCG_12.52668,chr9,35078652,35078778,FANCG,2403,1307,1096,3108,1570,1538,
SP_820.8853,chr19,33467348,33467475,rs2304102,2402,1109,1293,2754,1318,1436,
17333_1.58152,chr3,142281342,142281462,ATR,2402,1293,1109,2701,1463,1238,
FG_SP_116.11376,chr20,31021104,31021239,ASXL1,2402,1115,1287,2806,1359,1447,
MSH3_20.25415,chr5,80109330,80109450,MSH3,2401,1175,1226,2529,1236,1293,
ARID2_15.2.93724,chr12,46245412,46245530,ARID2,2401,1213,1188,2644,1282,1362,
TET2_1.1.318726,chr4,106155908,106156033,TET2,2401,1249,1152,2790,1362,1428,
SP_36.45660,chr1,36225886,36226009,rs7537203,2401,1151,1250,2539,1232,1307,
SP_1427.36738,chr6,107113616,107113732,rs2015205,2401,1300,1101,2949,1728,1221,
SP_1542.27158,chr7,128607330,128607452,rs8043,2401,1184,1217,2706,1328,1378,
NRXN1_tmb7_1.34246,chr2,50847221,50847349,NRXN1,2400,1294,1106,2626,1358,1268,
e_del_132729_18588_POLE_1.77951,chr12,133245445,133245556,POLE,2400,1224,1176,2577,1307,1270,
PPP2R2A_5.48485,chr8,26211922,26212039,PPP2R2A,2400,1382,1018,2784,1528,1256,
RAD51_5.64817,chr15,41001252,41001374,RAD51,2399,1238,1161,2577,1303,1274,
ZFHX3_2.3.37242,chr16,72829458,72829589,ZFHX3,2399,1298,1101,2654,1429,1225,
KMT2A_2.36116,chr11,118339460,118339581,KMT2A,2398,1268,1130,2927,1521,1406,
138548_1.24868,chr9,98232047,98232148,PTCH1,2398,1279,1119,2525,1327,1198,
PAK5_tmb1_1.20151,chr20,9520116,9520248,PAK5,2397,1263,1134,2688,1463,1225,
OBRA_BRCA2_26,chr13,32906600,32906712,BRCA2,2397,1259,1138,2611,1384,1227,
SP_976.15401,chr2,209191046,209191172,rs1529979,2397,1600,797,3524,1792,1732,
C8B_tmb8_1.28824,chr1,57422456,57422584,C8B,2397,1243,1154,2675,1366,1309,
SP_320.13601,chr11,74705630,74705753,rs544115,2396,1087,1309,2859,1360,1499,
FANCE_10.11633,chr6,35434001,35434091,FANCE,2396,1361,1035,2648,1491,1157,
SPEN_3.46109,chr1,16203058,16203180,SPEN,2396,1242,1154,2798,1454,1344,
C6_tmb3_1.68802,chr5,41155076,41155198,C6,2396,1257,1139,2536,1317,1219,
FGF23_3.17092,chr12,4488498,4488612,FGF23,2396,1195,1201,2488,1223,1265,
MGA_22.72519,chr15,42057174,42057300,MGA,2395,1183,1212,2553,1272,1281,
SP_1800.34853,chrX,117053443,117053564,rs6645994,2395,1303,1092,2562,1380,1182,
PBRM1_9.84599,chr3,52613019,52613140,PBRM1,2394,1262,1132,2723,1338,1385,
SP_1021.2163,chr20,25011315,25011437,rs6050259,2394,1114,1280,2832,1279,1553,
PTCH1_14.47978,chr9,98239711,98239836,PTCH1,2394,1164,1230,2883,1335,1548,
KCNH7_tmb1_1.82470,chr2,163229888,163230014,KCNH7,2394,1343,1051,2781,1504,1277,
RASA1_18.42866,chr5,86672660,86672780,RASA1,2394,1371,1023,2581,1471,1110,
ATR_16.112611,chr3,142217587,142217704,ATR,2393,1103,1290,2602,1154,1448,
SLC8A1_tmb1_1.38115,chr2,40391995,40392124,SLC8A1,2393,1097,1296,3010,1497,1513,
KMT2C_49.55700,chr7,151948993,151949111,KMT2C,2392,1402,990,3239,1924,1315,
SP_10.24810,chr16,56782122,56782245,NUP93,2392,1219,1173,3559,1947,1612,
MSH3_17.2237,chr5,80074490,80074580,MSH3,2392,1212,1180,2586,1281,1305,
ARID5B_8.13099,chr10,63818998,63819106,ARID5B,2392,1229,1163,2522,1312,1210,
PRDM1_5.70915,chr6,106547212,106547339,PRDM1,2392,1399,993,2610,1549,1061,
TET2_1.1.211376,chr4,106155569,106155687,TET2,2392,1096,1296,2565,1199,1366,
OBRA_BRCA2_141,chr13,32969018,32969116,BRCA2,2392,1290,1102,2770,1329,1441,
KRTAP21_1_tmb1_1.44616,chr21,32127439,32127566,KRTAP21-1,2391,1186,1205,2653,1220,1433,
BRINP3_tmb7_1.23985,chr1,190423764,190423887,BRINP3,2391,1187,1204,2840,1404,1436,
SP_612.11939,chr15,90126056,90126177,rs10775247,2390,1310,1080,2535,1408,1127,
ARID2_15.3.352837,chr12,46246039,46246158,ARID2,2390,1214,1176,2814,1400,1414,
CREBBP_387.5080,chr16,3781727,3781825,CREBBP,2388,1106,1282,2687,1332,1355,
86615_1.54387,chr1,65316404,65316515,JAK1,2388,1379,1009,2475,1416,1059,
MGA_1.1.128404,chr15,41961436,41961555,MGA,2388,1330,1058,2690,1502,1188,
FANCM_14.1.55393,chr14,45645076,45645198,FANCM,2388,1178,1210,3162,1700,1462,
PTCH1_2.61056,chr9,98232143,98232266,PTCH1,2387,1248,1139,2700,1443,1257,
ARID5B_3.131616,chr10,63699894,63699989,ARID5B,2387,1220,1167,2588,1333,1255,
SP_224.10776,chr10,72358550,72358669,rs885821,2387,1093,1294,2602,1147,1455,
HDAC2_11.6483,chr6,114277756,114277867,HDAC2,2387,1334,1053,2572,1423,1149,
KMT2C_32.55881,chr7,151892956,151893077,KMT2C,2387,1162,1225,2667,1314,1353,
SP_1274.18667,chr4,159894305,159894416,rs17037864,2387,1869,518,3621,1988,1633,
62403_1.8973,chr4,84390175,84390289,ABRAXAS1,2386,1074,1312,2596,1227,1369,
EP300_14.53423,chr22,41545743,41545870,EP300,2386,1399,987,3358,1817,1541,
ZFHX3_8.37954,chr16,72984368,72984480,ZFHX3,2386,1129,1257,2562,1253,1309,
PRDM1_4.59096,chr6,106546886,106547010,PRDM1,2386,1133,1253,2495,1187,1308,
EP300_530.2.12516,chr22,41574292,41574420,EP300,2386,1253,1133,2762,1394,1368,
NF2_7.30052,chr22,30054114,30054215,NF2,2385,1273,1112,2529,1387,1142,
RAD50_24.1260,chr5,131976308,131976434,RAD50,2385,1259,1126,2770,1327,1443,
SP_1651.31399,chr9,7103715,7103839,rs3763651,2385,1178,1207,2782,1363,1419,
DICER1_20.184541,chr14,95590643,95590761,DICER1,2385,1306,1079,2583,1453,1130,
PTPRT_tmb15_1.63493,chr20,41385093,41385232,PTPRT,2384,1203,1181,3050,1499,1551,
SP_7.39747,chr1,11187052,11187178,MTOR,2384,1268,1116,2552,1341,1211,
PPFIA2_tmb1_1.12161,chr12,81657101,81657227,PPFIA2,2384,1247,1137,2476,1280,1196,
GNA13_1.123842,chr17,63010464,63010590,GNA13,2384,1657,727,2839,2045,794,
FAT1_25.130585,chr4,187584687,187584796,FAT1,2383,1232,1151,2571,1316,1255,
PBRM1_6.95627,chr3,52597468,52597589,PBRM1,2383,1193,1190,2732,1354,1378,
CTNND2_tmb9_1.43197,chr5,11364904,11365010,CTNND2,2383,1356,1027,3426,1585,1841,
ASXL1_12.69123,chr20,31021053,31021171,ASXL1,2383,1259,1124,2722,1373,1349,
ARID5B_11.3.107020,chr10,63852603,63852726,ARID5B,2383,1079,1304,2572,1153,1419,
93766_1.42550,chr13,21557675,21557773,LATS2,2383,1236,1147,2528,1341,1187,
OBRA_BRCA2_74,chr13,32913701,32913792,BRCA2,2383,1155,1228,2472,1201,1271,
WL_SETD2_19.2.35788,chr3,47162938,47163062,SETD2,2382,1195,1187,2722,1384,1338,
RAD54L_9.45074,chr1,46733104,46733228,RAD54L,2382,1186,1196,2648,1325,1323,
FANCI_12.109903,chr15,89819968,89820090,FANCI,2382,1246,1136,2914,1393,1521,
SLCO1B3_tmb9_1.37379,chr12,21054284,21054399,SLCO1B3,2382,1264,1118,2702,1373,1329,
SP_1138.8535,chr3,102157336,102157457,rs6784389,2382,1115,1267,2598,1220,1378,
SP_953.5747,chr2,178762756,178762875,rs71423514,2382,1254,1128,2781,1457,1324,
ATRX_27.2.128202,chrX,76938028,76938151,ATRX,2382,1186,1196,2881,1620,1261,
SP_90.15354,chr15,66727456,66727569,MAP2K1,2381,1241,1140,2851,1351,1500,
PDGFRA_tmb5_1.36066,chr4,55161298,55161438,PDGFRA,2381,1325,1056,2768,1383,1385,
FAT1_18.2.83394,chr4,187540000,187540115,FAT1,2381,1206,1175,2672,1371,1301,
RASA2_2.6649,chr3,141231101,141231227,RASA2,2381,1252,1129,3006,1439,1567,
SP_779.35449,chr18,64176300,64176422,rs1055335,2381,1062,1319,2647,1184,1463,
SP_1419.32455,chr6,87725616,87725736,rs3828741,2380,1129,1251,2608,1205,1403,
SP_818.35787,chr19,23544956,23545030,rs296092,2380,1156,1224,2458,1207,1251,
SLC8A1_tmb2_1.26195,chr2,40404883,40405002,SLC8A1,2380,1194,1186,2783,1484,1299,
PDCD1LG2_3.49415,chr9,5549511,5549627,PDCD1LG2,2380,1183,1197,2540,1244,1296,
SP_210.4139,chr10,44788804,44788935,rs58189594,2379,1401,978,3195,1563,1632,
MAP2K4_10.64024,chr17,12032461,12032577,MAP2K4,2379,1006,1373,2558,1125,1433,
SP_445.20354,chr12,119588867,119588996,rs2723880,2379,1345,1034,3242,1747,1495,
SP_769.36999,chr18,43246073,43246189,rs9960464,2379,1311,1068,2596,1413,1183,
CTCF_1.170023,chr16,67644857,67644956,CTCF,2379,1163,1216,2700,1257,1443,
ARID5B_11.1.154475,chr10,63850805,63850929,ARID5B,2379,1011,1368,2990,1537,1453,
CDKN2B_1.3.5728,chr9,22005728,22005853,CDKN2B,2378,1246,1132,2766,1552,1214,
CDH1_3.43550,chr16,68845566,68845680,CDH1,2378,1206,1172,2621,1313,1308,
ERCC4_9.844,chr16,14031626,14031748,ERCC4,2377,1184,1193,2646,1362,1284,
KMT2D_21.1.120788,chr12,49431360,49431491,KMT2D,2377,1253,1124,2775,1530,1245,
GATA3_2.97604,chr10,8111382,8111507,GATA3,2376,1117,1259,2784,1447,1337,
SP_616.23199,chr15,98513807,98513923,rs2130882,2376,1241,1135,2672,1426,1246,
FANCI_18.39367,chr15,89833416,89833535,FANCI,2376,1162,1214,2766,1391,1375,
ASXL2_6.61109,chr2,25990396,25990517,ASXL2,2375,1238,1137,2700,1451,1249,
ARID1B_12.13174,chr6,157502013,157502134,ARID1B,2375,1475,900,3189,1918,1271,
172761_1.4272,chr10,114710937,114711024,TCF7L2,2375,1293,1082,2501,1397,1104,
KMT2C_40.57293,chr7,151921168,151921319,KMT2C,2375,1210,1165,2648,1343,1305,
JAK2_5.125210,chr9,5054582,5054682,JAK2,2374,1155,1219,2617,1229,1388,
ARID1A_20.2.191323,chr1,27106403,27106533,ARID1A,2374,1203,1171,2723,1351,1372,
SP_73.19698,chr3,138426084,138426204,PIK3CB,2374,1216,1158,2506,1314,1192,
EP300_19.62881,chr22,41554480,41554606,EP300,2373,1702,671,3620,1805,1815,
SP_123.13305,chr1,156909661,156909755,rs2275199,2372,1198,1174,2593,1293,1300,
SP_1115.13038,chr3,47282290,47282396,rs2276853,2372,1177,1195,2616,1339,1277,
CIC_1.3.13214,chr19,42778544,42778675,CIC,2372,1114,1258,3182,1797,1385,
KMT2A_3.3.1350,chr11,118344584,118344681,KMT2A,2371,1161,1210,2515,1213,1302,
CTLA4_2.127947,chr2,204735399,204735524,CTLA4,2371,1206,1165,2621,1298,1323,
DAXX_6.114970,chr6,33289016,33289150,DAXX,2370,974,1396,2874,1156,1718,
SP_1345.22842,chr5,147480054,147480161,rs2303064,2370,1155,1215,2678,1287,1391,
SP_219.33297,chr7,128851510,128851617,SMO,2370,966,1404,2885,1383,1502,
FANCM_22.13939,chr14,45667759,45667885,FANCM,2370,1320,1050,2863,1498,1365,
OBRA_BRCA1_29,chr17,41223169,41223282,BRCA1,2369,1181,1188,2523,1253,1270,
SP_1667.308,chr9,73150910,73151015,rs6560142,2369,1132,1237,2615,1325,1290,
ASXL2_1.2.94180,chr2,25965826,25965957,ASXL2,2369,1185,1184,2609,1310,1299,
SP_189.15948,chr10,8006720,8006844,rs4747647,2369,1184,1185,2565,1326,1239,
CTLA4_2.137416,chr2,204735508,204735631,CTLA4,2368,1182,1186,2614,1262,1352,
SETD2_4.46544,chr3,47079257,47079382,SETD2,2368,1270,1098,2779,1369,1410,
PIK3R2_10.67398,chr19,18274041,18274167,PIK3R2,2368,1155,1213,2703,1337,1366,
SP_1454.581,chr6,146126393,146126511,rs9373475,2367,1268,1099,2526,1336,1190,
ARID2_15.2.183573,chr12,46245160,46245280,ARID2,2367,1161,1206,2627,1244,1383,
CTCF_1.165437,chr16,67645022,67645146,CTCF,2367,1215,1152,2512,1284,1228,
